member_id,landing_page_type,os,pref_id,occupation_id,age,mail_domain_type
2973991,jobshil_post,smartphone,25,18,52,other
2974007,search_city,smartphone,13,224,36,gmail
2974264,detail,smartphone,10,14,21,gmail
2974276,search_user,smartphone,19,2,23,gmail
2974413,search_hello,,27,14,28,gmail
2974755,detail_hello,,13,15,23,softbank
2975109,search_hello,smartphone,13,152,27,yahoo
2975183,search_hello,smartphone,1,14,18,icloud
2975318,login,smartphone,12,14,19,other
2975543,detail,smartphone,23,14,23,docomo
2975593,detail,smartphone,43,95,54,yahoo
2975888,detail,,12,342,33,gmail
2975942,detail,smartphone,7,334,20,icloud
2976653,search_hello,smartphone,9,14,24,docomo
2976681,search_hello,smartphone,1,14,24,icloud
2976736,detail,windows,28,214,58,gmail
2976740,search_hello,,34,222,24,docomo
2976991,detail,smartphone,23,95,38,gmail
2977102,search_hello,,13,40,55,softbank
2977312,detail,smartphone,34,327,20,docomo
2977517,search_hello,,1,40,23,ezweb
2978433,login,smartphone,9,14,20,gmail
2978448,search_multi,smartphone,23,367,24,icloud
2978490,search_hello,smartphone,1,95,28,other
2979000,detail,,8,1,33,gmail
2979268,search_hello,smartphone,11,14,20,icloud
2979281,search_hello,smartphone,27,367,45,gmail
2979813,search_hello,iPad,47,324,43,gmail
2979878,search_hello,smartphone,47,36,20,other
2980317,search_other,smartphone,7,40,42,other
2980333,search_hello,smartphone,14,17,54,docomo
2980492,detail,Mac OSX,1,1,28,ezweb
2980790,jobshil_post,,3,183,21,other
2980792,search_hello,smartphone,28,14,20,icloud
2980837,detail,smartphone,8,367,24,icloud
2981267,detail_hello,smartphone,34,367,43,icloud
2981707,other,smartphone,4,14,18,softbank
2981747,search_hello,smartphone,7,191,22,gmail
2981768,search_hello,,23,49,28,gmail
2981788,search_hello,smartphone,22,20,30,yahoo
2982489,detail,smartphone,44,14,20,icloud
2983345,search_hello,,36,191,22,yahoo
2983548,detail,,12,14,46,docomo
2984438,detail,smartphone,47,48,32,icloud
2984738,search_hello,smartphone,14,4,44,gmail
2985459,detail_hello,smartphone,13,227,20,icloud
2985586,detail,smartphone,44,295,22,ezweb
2985822,search_hello,,23,227,24,gmail
2986390,detail,smartphone,16,2,22,icloud
2986693,detail,smartphone,34,4,26,yahoo
2986804,jobshil_post,smartphone,34,218,25,gmail
2986880,jobshil_post,windows,47,14,36,gmail
2987112,search_hello,smartphone,33,14,24,gmail
2988430,search_hello,,6,14,27,ezweb
2988566,jobshil_post,smartphone,10,343,23,softbank
2989177,detail_hello,windows,9,14,35,gmail
2989604,search_hello,windows,27,322,67,other
2991783,jobshil_post,smartphone,8,40,23,gmail
2992673,search_other,smartphone,40,367,42,docomo
2992764,detail,smartphone,15,63,30,ezweb
2993205,detail,windows,9,14,49,yahoo
2993595,jobshil_top,smartphone,13,14,31,other
2995057,jobshil_post,smartphone,12,226,21,icloud
2995119,jobshil_other,smartphone,43,296,45,docomo
2997335,search_multi,smartphone,46,350,51,gmail
2997465,search_hello,,38,93,52,softbank
2998429,jobshil_post,windows,1,3,29,other
2999448,jobshil_post,smartphone,40,14,47,yahoo
3000227,detail_hello,smartphone,1,14,22,yahoo
3000234,detail,smartphone,1,14,19,yahoo
3000794,detail,smartphone,9,40,49,softbank
3001121,jobshil_post,smartphone,47,342,41,gmail
3001320,jobshil_post,smartphone,19,222,45,docomo
2965179,detail,smartphone,19,96,19,docomo
2965188,search_hello,smartphone,27,367,21,softbank
2965348,search_hello,smartphone,13,192,20,icloud
2965439,search_hello,smartphone,12,14,28,other
2965502,jobshil_post,,12,2,50,docomo
2965524,search_hello,Mac OSX,35,170,33,gmail
2965597,top,smartphone,15,40,22,gmail
2965846,search_hello,smartphone,1,369,25,softbank
2966222,search_hello,,25,367,52,docomo
2966305,detail,smartphone,33,175,23,docomo
2966439,search_hello,smartphone,12,4,51,other
2966449,jobshil_post,smartphone,13,1,25,ezweb
2966504,detail,smartphone,5,14,26,gmail
2966558,search_hello,smartphone,37,14,25,docomo
2966805,search_hello,smartphone,13,1,22,other
2966974,detail_hello,,45,222,32,other
2967309,search_hello,smartphone,28,153,28,softbank
2967350,search_hello,smartphone,43,15,21,icloud
2967352,detail,AndroidTablet,8,168,36,gmail
2967402,search_hello,smartphone,4,323,29,gmail
2967673,search_hello,windows,12,346,22,ezweb
2967680,search_hello,smartphone,3,2,26,yahoo
2967842,search_other,smartphone,43,340,35,gmail
2967942,search_hello,windows,26,96,24,yahoo
2968102,search_hello,smartphone,17,14,25,gmail
2968183,detail,,27,2,26,gmail
2968356,search_hello,smartphone,27,179,24,gmail
2968433,search_hello,,19,266,23,docomo
2968584,search_hello,,23,14,21,gmail
2968598,search_hello,smartphone,14,1,24,gmail
2969116,search_hello,smartphone,27,227,51,softbank
2969130,top,,37,49,22,gmail
2969203,search_hello,smartphone,13,292,24,gmail
2969397,detail,smartphone,19,35,19,gmail
2969639,jobshil_post,smartphone,1,329,16,gmail
2969721,detail,smartphone,28,146,21,gmail
2969776,search_hello,windows,11,14,34,yahoo
2970120,search_other,smartphone,11,14,23,softbank
2970381,search_hello,smartphone,23,152,46,other
2970430,jobshil_other,,31,14,37,softbank
2970641,search_hello,,28,4,19,other
2970645,search_hello,smartphone,40,226,28,other
2971018,jobshil_post,smartphone,13,14,64,other
2971041,search_hello,smartphone,23,247,31,gmail
2971121,detail,,19,153,30,other
2971385,search_hello,smartphone,22,35,20,docomo
2971459,search_hello,smartphone,20,12,20,gmail
2971588,jobshil_post,smartphone,13,356,20,other
2971592,detail,smartphone,22,142,37,softbank
2972079,detail,,47,40,21,icloud
2972103,search_hello,,23,14,26,icloud
2972389,detail,,27,318,20,icloud
2972644,search_hello,smartphone,27,14,23,ezweb
2972886,detail,smartphone,32,14,23,icloud
2973079,search_hello,,7,219,41,softbank
2973911,search_hello,,27,369,28,icloud
2974326,search_hello,smartphone,14,15,20,ezweb
2974396,detail,smartphone,47,198,20,icloud
2974502,search_hello,smartphone,15,35,18,ezweb
2974598,search_other,windows,47,343,46,other
2974788,search_hello,smartphone,21,21,27,icloud
2974900,detail,smartphone,44,3,27,docomo
2975071,search_hello,smartphone,8,14,20,other
2976161,search_hello,smartphone,45,29,37,other
2976329,search_company,smartphone,34,367,34,other
2976928,search_hello,smartphone,1,15,21,other
2977013,search_hello,smartphone,13,300,37,gmail
2977033,search_hello,smartphone,47,14,26,docomo
2977106,detail,smartphone,40,63,22,softbank
2977192,detail,smartphone,14,47,26,other
2977321,jobshil_post,,13,1,23,softbank
2977356,detail,smartphone,22,367,32,softbank
2977416,search_hello,,40,29,36,icloud
2977864,search_hello,windows,37,242,44,yahoo
2978122,detail,smartphone,23,14,28,other
2978192,jobshil_post,smartphone,27,2,21,icloud
2978552,search_hello,smartphone,9,40,53,softbank
2978578,search_multi,smartphone,29,46,50,gmail
2978723,detail,smartphone,8,14,23,gmail
2979049,search_other,smartphone,33,317,21,docomo
2979110,top,smartphone,22,2,44,gmail
2979146,,smartphone,13,367,48,docomo
2979155,search_hello,smartphone,7,15,27,ezweb
2979177,search_hello,smartphone,1,3,32,gmail
2979312,search_hello,smartphone,11,139,26,gmail
2979622,detail,,13,1,65,gmail
2979859,search_hello,smartphone,37,15,22,icloud
2980024,search_hello,smartphone,16,367,29,other
2980236,search_hello,smartphone,8,2,42,other
2980335,search_city,,14,278,21,icloud
2980552,search_hello,smartphone,36,14,18,docomo
2980836,jobshil_post,smartphone,14,18,22,yahoo
2980853,search_hello,smartphone,10,283,20,icloud
2981027,search_city,smartphone,38,46,19,gmail
2981235,detail,smartphone,26,238,30,docomo
2981474,detail,windows,37,239,29,other
2981706,jobshil_post,smartphone,36,46,49,other
2981762,register,windows,1,46,24,gmail
2982050,search_hello,smartphone,27,329,24,ezweb
2982479,search_hello,smartphone,35,153,29,ezweb
2983011,search_hello,smartphone,20,1,20,gmail
2983286,jobshil_post,smartphone,31,236,43,other
2983374,detail,smartphone,13,227,27,gmail
2983443,search_pref,smartphone,1,1,28,yahoo
2984895,search_hello,smartphone,14,367,28,other
2985119,top,iPod,23,14,19,icloud
2985652,jobshil_post,,13,343,46,gmail
2985870,detail,smartphone,37,382,43,yahoo
2986035,search_hello,smartphone,13,14,21,yahoo
2986291,detail,smartphone,3,223,44,yahoo
2986296,search_hello,smartphone,34,4,50,yahoo
2987510,detail_hello,smartphone,41,5,22,gmail
2988422,search_multi,,11,14,24,other
2988987,jobshil_top,smartphone,14,158,28,gmail
2989950,jobshil_post,smartphone,47,367,26,other
2990181,jobshil_post,smartphone,40,14,21,icloud
2990363,detail,smartphone,13,369,43,ezweb
2965015,search_hello,smartphone,27,35,19,ezweb
2965096,search_hello,smartphone,25,14,23,softbank
2965110,search_hello,smartphone,4,15,27,other
2965185,top,smartphone,13,96,34,other
2965546,search_hello,smartphone,23,14,44,other
2965568,detail,smartphone,8,179,23,icloud
2965874,hello_hw,,22,382,34,gmail
2965876,detail_hello,,9,204,43,docomo
2965883,detail,smartphone,3,21,20,docomo
2965916,search_hello,smartphone,34,14,23,docomo
2966030,search_other,,30,152,24,other
2966280,search_hello,smartphone,13,14,25,gmail
2966313,search_hello,smartphone,28,15,25,other
2966419,jobshil_post,smartphone,23,2,22,softbank
