member_id,page_type,hit,trajectory,stay
2981482,entry,2,1914,51
2980014,mypage_scout,10,8285,464
2979764,detail,3,12966,256
2979558,detail,8,29763,326
2979485,search_user,6,4672,291
2980190,register,4,1786,74
2978914,detail,3,2753,154
2978732,search_user,7,34205,293
2977471,register,2,897,50
2976307,register,1,264,36
2975676,register,2,746,19
2975432,register,2,412,48
2975188,search_multi,2,1034,570
2974919,detail,4,31014,78
2971886,search_other,3,12148,116
2971853,else,1,1733,139
2989993,detail,6,44069,417
2970378,search_multi,3,9350,277
2969760,else,1,1807,141
2969625,register,1,465,10
2968331,register,2,619,18
2967270,detail,6,38690,305
2966688,search_user,5,20251,141
2965706,mypage_scout,4,6244,65
2981787,register,3,599,146
2998943,mypage_index,2,1593,50
2996474,detail,10,29613,4049
2995225,mypage_index,1,0,1254
2991485,edit_hope,2,800,40
2982418,search_multi,1,1372,11794
2981124,else,2,9782,256
2980612,search_multi,3,20449,118
2980236,search_multi,2,0,326
2977008,mypage_scout,2,1482,213
2977952,search_pref,1,10964,26
2977952,search_user,8,61118,342
2977638,detail,1,4659,82
2976871,search_user,3,1592,71
2977249,else,1,216,18
2976478,search_other,4,20188,48
2976059,search_user,2,8837,48
2974422,mypage_scout,9,2752,201
2975421,else,1,880,19
2995463,search_other,7,42696,554
2974340,search_other,1,8116,45
2974048,detail,5,15553,385
3000788,detail,7,34898,7709
2996660,detail,1,9198,184
2995447,detail,4,34971,166
2994759,mypage_index,1,498,149
2993128,mypage_scout,1,1384,2
2989749,search_multi,3,9057,934
2989259,detail,1,883,16
2985111,search_user,7,55049,373
2981974,mypage_index,7,1588,170
2981312,else,1,446,16
2986953,search_user,1,6566,175
2980692,else,6,10431,116635
2980349,entry,2,1902,41
2979853,search_other,1,247,59
2978076,detail,4,16811,61
2976965,detail,8,27930,1674
2977864,else,11,11677,318
2977568,search_pref,2,10166,26
2977528,login,2,155,6
2976328,search_other,4,15408,16437
2975597,detail,2,3349,169
2975254,search_multi,4,23901,90
2974144,search_multi,3,4776,70
2973589,search_other,6,35396,105
2970373,else,1,2024,26
2970248,entry,1,3028,18
2969411,search_other,4,26948,343
2969748,register,1,633,32
2968813,else,2,3172,508
2968326,detail,7,42215,174
2967065,register,3,423,87
2965497,mypage_scout,5,6218,3408
2965044,detail,11,60405,421
2997270,detail,2,13428,442
2993669,else,2,450,24
2992782,detail,8,51776,588
2989183,mypage_index,2,184,49
2984674,search_user,5,27986,258
2983440,login,1,41,13
2983244,register,1,0,11
2982703,mypage_index,4,4953,158
2981539,entry,2,2316,78
2980688,search_other,6,30931,19252
2980226,detail,9,34881,562
2979932,mypage_index,3,1455,32
2979557,search_other,3,8187,837
2979188,register,1,179,10
2978916,detail,12,58207,896
2978074,search_user,5,22824,17
2977703,else,1,1624,23
2977356,register,1,755,1
2975863,search_user,2,8104,45
2975456,mypage_consider,2,1949,48
2975603,detail,3,5954,61
2975028,search_user,13,69606,1152
2974871,search_other,2,4806,19
2972551,edit_resume,2,1400,48
2970165,edit_hope,1,40,29
2969390,search_user,1,785,42
2968598,mypage_index,1,863,6
2967060,mypage_scout,2,3055,44
2966464,register,2,901,55
2966094,search_user,2,12415,78
2965656,register,3,0,86
2964976,register,2,280,49
2974812,search_other,2,5000,26
2965259,else,4,9331,12282
2975042,search_other,1,6341,169
2986016,search_other,2,2500,438984
3000864,login,1,73,16
2997335,detail,1,2933,307
2993260,mypage_scout,3,2722,1705
2990576,search_pref,1,282,9
2988341,edit_resume,6,19642,132
2988026,else,16,21200,4565
2987983,detail,7,21633,181
2983279,search_other,3,2216,619
2981768,mypage_scout,4,1342,68
2981952,mypage_index,2,791,519
2980790,register,1,243,15
2979862,search_user,5,8613,450
2979459,else,6,7141,313
2979258,register,1,492,54
2978229,register,1,160,10
2977065,else,2,911,35
2976923,mypage_index,2,979,22
2976059,search_other,2,3083,57
2975544,detail,9,42540,299
2974813,entry,2,3187,42
2973590,else,3,2616,54
2972561,else,4,3248,235
2973375,search_user,3,7079,240
2972620,search_other,1,628,2
2971433,search_multi,3,21900,166
2970354,else,6,3575,380
2970367,edit_resume,2,2543,159
2968714,edit_resume,1,1514,16
2968421,register,1,783,40
2967836,search_other,2,3885,328
2967103,search_multi,1,1193,54
2966625,mypage_index,3,0,213
2966876,register,2,867,32
2965751,register,2,1090,75
2965110,detail,2,3093,65
2965026,search_other,2,4495,187
2966465,search_user,4,20146,814
2998067,mypage_scout,2,2235,426
2996108,detail,2,8361,35
2992303,register,1,323,271
